序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
118,000001,平安银行,详细解读平安银行2020年三季报：两市首份银行三季报，利润增速触底回升,买入,民生证券,1,,,,,,,银行Ⅱ,2020-10-22,https://pdf.dfcfw.com/pdf/H3_AP202010221422924331_1.pdf
119,000001,平安银行,平安银行2020年中报业绩点评：夯实转型基础，主动加大拨备计提,增持,新时代证券,1,,,,,,,银行Ⅱ,2020-08-31,https://pdf.dfcfw.com/pdf/H3_AP202008311404491408_1.pdf
120,000001,平安银行,拨备前利润增速稳健，关注资产质量表现,买入,中银证券,1,,,,,,,银行Ⅱ,2020-08-28,https://pdf.dfcfw.com/pdf/H3_AP202008281403023113_1.pdf
121,000001,平安银行,拨备前利润维持高增，资产质量稳健,买入,东兴证券,1,,,,,,,银行Ⅱ,2020-08-28,https://pdf.dfcfw.com/pdf/H3_AP202008281402957188_1.pdf
122,000001,平安银行,半年报点评报告：拨备前利润实现较高增长,增持,万联证券,1,,,,,,,银行Ⅱ,2020-08-28,https://pdf.dfcfw.com/pdf/H3_AP202008281402937636_1.pdf
123,000001,平安银行,2020年中报点评：利润下滑11%与拨备覆盖率提升32pct,买入,东吴证券,1,,,,,,,银行Ⅱ,2020-08-28,https://pdf.dfcfw.com/pdf/H3_AP202008281402931207_1.pdf
124,000001,平安银行,详细解读平安银行2020年半年报：低调的利润增速藏不住靓丽的基本面,买入,民生证券,1,,,,,,,银行Ⅱ,2020-08-28,https://pdf.dfcfw.com/pdf/H3_AP202008281402903534_1.pdf
125,000001,平安银行,零售转型依旧亮眼、关注信用卡不良率抬升,买入,华金证券,1,,,,,,,银行Ⅱ,2020-08-28,https://pdf.dfcfw.com/pdf/H3_AP202008281402902991_1.pdf
126,000001,平安银行,Bottom line disappoints but core earnings resilient,买入,招银国际,1,,,,,,,银行Ⅱ,2020-08-28,https://pdf.dfcfw.com/pdf/H3_AP202008281402901187_1.pdf
127,000001,平安银行,首次覆盖报告：科技引领，零售突破：打造全球领先的智能化商业银行,增持,新时代证券,1,,,,,,,银行Ⅱ,2020-06-23,https://pdf.dfcfw.com/pdf/H3_AP202006231386768730_1.pdf
128,000001,平安银行,盈利保持高速增长，资产质量表现平稳,买入,东兴证券,1,,,,,,,银行Ⅱ,2020-04-22,https://pdf.dfcfw.com/pdf/H3_AP202004221378389078_1.pdf
129,000001,平安银行,平安银行：一季报表现亮眼，维持较快增速,买入,太平洋,1,,,,,,,银行Ⅱ,2020-04-22,https://pdf.dfcfw.com/pdf/H3_AP202004221378380230_1.pdf
130,000001,平安银行,季报点评报告：一季度净息差保持基本稳定,增持,万联证券,1,,,,,,,银行Ⅱ,2020-04-22,https://pdf.dfcfw.com/pdf/H3_AP202004221378376458_1.pdf
131,000001,平安银行,零售转型依旧亮眼、关注信用卡不良率抬升,买入,华金证券,1,,,,,,,银行Ⅱ,2020-04-21,https://pdf.dfcfw.com/pdf/H3_AP202004211378353157_1.pdf
132,000001,平安银行,Solid earnings momentum; Asset quality trend is key to watch,买入,招银国际,1,,,,,,,银行Ⅱ,2020-04-21,https://pdf.dfcfw.com/pdf/H3_AP202004211378322817_1.pdf
133,000001,平安银行,盈利增速超预期提升，风险抵补能力增强,买入,中银证券,1,,,,,,,银行Ⅱ,2020-04-21,https://pdf.dfcfw.com/pdf/H3_AP202004211378313880_1.pdf
134,000001,平安银行,点评平安银行一季报：无惧疫情影响，用实力说话,买入,民生证券,1,,,,,,,银行Ⅱ,2020-04-21,https://pdf.dfcfw.com/pdf/H3_AP202004211378310161_1.pdf
135,000001,平安银行,2020年一季报点评：逆势强劲增长14.8%，资产质量总体稳定,买入,东吴证券,1,,,,,,,银行Ⅱ,2020-04-21,https://pdf.dfcfw.com/pdf/H3_AP202004211378307160_1.pdf
136,000001,平安银行,Conference call takeaway – Business outlook remains solid,买入,招银国际,1,,,,,,,银行Ⅱ,2020-03-23,https://pdf.dfcfw.com/pdf/H3_AP202003231376808071_1.pdf
137,000001,平安银行,平安银行深度报告：零售对公双拳出击，旗帜鲜明推平安,买入,民生证券,1,,,,,,,银行Ⅱ,2020-03-02,https://pdf.dfcfw.com/pdf/H3_AP202003021375680722_1.pdf
138,000001,平安银行,透视平安集团年报，掘金银行资源禀赋,买入,东吴证券,1,,,,,,,银行Ⅱ,2020-02-22,https://pdf.dfcfw.com/pdf/H3_AP202002221375386584_1.pdf
139,000001,平安银行,对公复苏，负债改善，净息差强势,买入,东吴证券,1,,,,,,,银行Ⅱ,2020-02-19,https://pdf.dfcfw.com/pdf/H3_AP202002191375248780_1.pdf
140,000001,平安银行,零售业务稳健发展 关注资产质量变动,增持,万联证券,1,,,,,,,银行Ⅱ,2020-02-17,https://pdf.dfcfw.com/pdf/H3_AP202002171375159659_1.pdf
141,000001,平安银行,平安银行年报点评：夯实资产质量，蓄力未来发展,买入,太平洋,1,,,,,,,银行Ⅱ,2020-02-16,https://pdf.dfcfw.com/pdf/H3_AP202002161375155404_1.pdf
142,000001,平安银行,4Q19业绩亮点-息差企稳，派息提升,买入,招银国际,1,,,,,,,银行Ⅱ,2020-02-16,https://pdf.dfcfw.com/pdf/H3_AP202002161375153796_1.pdf
143,000001,平安银行,2019年年报点评：拨备计提增加，不良认定趋严,买入,群益证券,1,,,,,,,银行Ⅱ,2020-02-14,https://pdf.dfcfw.com/pdf/H3_AP202002141375125177_1.pdf
144,000001,平安银行,息差彰显韧性、资产质量持续优化,买入,华金证券,1,,,,,,,银行Ⅱ,2020-02-14,https://pdf.dfcfw.com/pdf/H3_AP202002141375112272_1.pdf
145,000001,平安银行,Stable NIM and rising dividend payout highlight 4Q19 results,买入,招银国际,1,,,,,,,银行Ⅱ,2020-02-14,https://pdf.dfcfw.com/pdf/H3_AP202002141375112009_1.pdf
146,000001,平安银行,平安银行年报点评：夯实资产质量，改善存款成本,买入,民生证券,1,,,,,,,银行Ⅱ,2020-02-14,https://pdf.dfcfw.com/pdf/H3_AP202002141375107233_1.pdf
147,000001,平安银行,主营业务增长强劲，关注资产质量表现,买入,中银证券,1,,,,,,,银行Ⅱ,2020-02-14,https://pdf.dfcfw.com/pdf/H3_AP202002141375107221_1.pdf
148,000001,平安银行,2019年业绩快报点评：主动计提拨备，对公业务复苏初显成效,买入,东吴证券,1,,,,,,,银行Ⅱ,2020-01-14,https://pdf.dfcfw.com/pdf/H3_AP202001141374166371_1.pdf
